GrouP28,,,,,
P1,P2,P3,P4,P5,PC
237.0392465,110.12,105.12,97.99,72.28,80
237.2281521,110.17,105.16,97.98,72.3,80
237.1856552,110.17,105.17,97.98,72.32,80
236.9163843,110.14,105.17,98.03,72.3,80
237.1928874,110.2,105.12,98.05,72.31,80
237.6912898,110.24,105.14,97.99,72.21,80
237.3417205,110.24,105.17,98,72.4,80
237.4873414,110.36,105.26,98.02,72.57,80
237.5107626,110.39,105.19,98.06,72.63,80
236.8724408,110.31,105.15,98.05,72.86,80
239.2793525,110.91,105.39,98.01,73.05,80
241.1149651,111.46,105.7,98,73.34,80
242.1645057,111.69,106,97.99,73.13,80
242.1201929,111.61,106.04,97.93,72.99,80
241.3611347,111.58,106.05,98.02,73.21,80
240.4582063,111.44,105.99,98.03,73.4,80
240.805304,111.51,105.97,98.03,73.41,80
240.5375883,111.49,105.94,97.97,73.68,80
240.0132579,111.46,105.98,98,73.84,80
239.2643473,111.36,105.94,97.99,74.08,80
239.7890885,111.46,106,97.95,74.08,80
240.389652,111.54,106.06,97.94,73.9,80
239.9244927,111.51,106.04,98,74.01,80
239.9891971,111.56,106.15,98.01,74.01,80
239.8316584,111.57,106.08,98.03,74.17,80
239.8889272,111.55,106.05,97.96,74.24,80
239.9672831,111.58,106.1,97.96,74.24,80
239.5968602,111.61,106.17,98.03,74.38,80
239.6907505,111.71,106.12,98,74.75,80
239.3478392,111.63,106.19,98,74.66,80
239.2299661,111.65,106.16,98.02,74.79,80
239.2308981,111.67,106.19,98,74.87,80
239.6160598,111.72,106.19,98.01,74.75,80
239.2974977,111.72,106.23,98.02,74.91,80
239.6348637,111.82,106.29,98.05,74.89,80
239.3125661,111.82,106.33,97.99,75.2,80
239.80038,111.82,106.37,97.92,74.98,80
240.0537896,111.93,106.38,97.99,75.01,80
239.5331957,111.82,106.36,98.02,74.96,80
239.406563,111.81,106.39,97.99,75.05,80
239.3726545,111.76,106.39,97.99,74.91,80
237.798087,111.5,106.26,97.98,75.27,80
237.8971162,111.46,106.24,97.98,75.09,80
238.5782244,111.54,106.19,98,74.89,80
237.8641748,111.36,106.13,98.02,74.8,80
238.5032214,111.43,106.29,98.03,74.43,80
239.2074464,111.27,106.27,97.72,74.1,80
234.5725445,110.21,105.96,98.02,73.44,80
231.2166778,109.35,105.74,97.87,73.43,80
231.773578,110.19,105.73,97.96,75.61,80
241.0950358,112.96,106.61,98.14,77.14,80
249.4165944,115.13,107.33,98,78.21,80
