Group No,GrouP1,,,,,,GrouP2,,,,,,GrouP3,,,,,,GrouP4,,,,,,GrouP5,,,,,,Group6,,,,,,Group7,,,,,,Group8,,,,,,Group9,,,,,,GrouP10,,,,,,GrouP11,,,,,,GrouP12,,,,,,GrouP13,,,,,,GrouP14,,,,,,GrouP15,,,,,,,GrouP16,,,,,,,GrouP17,,,,,,,GrouP18,,,,,,,GrouP19,,,,,,,GrouP20,,,,,,,GrouP21,,,,,,,GrouP22,,,,,,,GrouP23,,,,,,,GrouP24,,,,,,,GrouP25,,,,,,,GrouP26,,,,,,,GrouP27,,,,,,,GrouP28,,,,,,,GrouP29,,,,,,,GrouP30,,,,,,
Parameter è,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC,P1,P2,P3,P4,P5,PF,PC
15-09-2025 06:00,237.77,113.77,105.45,99.41,,,,,,,,,259.82,,113.14,100.78,,,,115.7,,98.28,,,,116.05,110.7,99.78,,,,126.49,129.05,99.33,,,,,,,,,,,,97.97,,,,,105.4,99,,,,,,98.85,,,,106.68,115.82,98.38,,,,111.89,109.73,99.01,,,260.3,105.61,,99.94,,,,,,99.4,,,,111.6,107.22,99.71,71.35,,74,,,108.58,99.01,71.03,,82,,,108.46,98.58,70.38,,78,277.963216,111.43,106.28,100.18,82.16,,87,,,,98.03,80.88,,87,,111.59,,100.06,71.54,,78,225.7647916,118.64,110.06,99.08,70.4,,79,299.47,,,98.7,76.26,,81,,,,98.54,72.17,,88,274.21,,,99.94,59.42,,76,179.6418227,108.9,107.38,99.9,72.47,,79,,,,100.01,59.36,,85,,,,98.6,59.63,,74,237.0392465,110.12,105.12,97.99,72.28,,80,,,,98.94,75.65,,87,,,,,28.72,,
15-09-2025 06:05,237.55,113.64,105.42,99.37,,,,,,,,,259.85,,113.14,100.84,,,,115.78,,98.39,,,,115.9,110.58,99.61,,,,126.39,129,99.16,,,,,,,,,,,,98.03,,,,,105.12,98.84,,,,,,98.7,,,,106.65,115.73,98.36,,,,111.85,109.69,99.02,,,259.11,105.6,,99.97,,,,,,99.45,,,,111.57,107.27,99.66,71.53,,74,,,108.62,99.01,71.03,,82,,,108.48,98.4,70.56,,78,286.1196426,111.51,106.38,99.97,81.99,,87,,,,98.05,80.97,,87,,111.6,,100.06,71.29,,78,226.0225961,118.69,110.08,99,70.24,,79,299.29,,,98.65,76.25,,81,,,,98.52,72.09,,88,273.86,,,99.92,59.37,,76,179.6813642,108.86,107.34,99.89,72.52,,79,,,,100,59.33,,85,,,,98.59,59.64,,74,237.2281521,110.17,105.16,97.98,72.3,,80,,,,98.93,75.57,,87,,,,,28.66,,
15-09-2025 06:10,237.73,113.65,105.44,99.48,,,,,,,,,258.59,,113.18,100.9,,,299.57,115.87,,98.42,,,,115.73,110.43,99.56,,,,126.19,128.94,99.08,,,,,,,,,,,,98.03,,,,,105.21,98.76,,,,,,98.65,,,,106.63,115.72,98.42,,,,111.87,109.72,99.03,,,259.01,105.6,,100.02,,,,,,99.45,,,,111.59,107.23,99.71,71.29,,74,,,108.62,99.06,70.83,,82,,,108.41,98.44,70.55,,78,274.0995617,111.41,106.28,100.18,81.95,,87,,,,97.97,80.89,,87,,111.55,,100.15,71.03,,78,226.3709095,118.72,110.11,98.85,70.14,,79,,,,98.56,76.3,,81,,,,98.54,71.83,,88,274.04,,,99.97,59.33,,76,180.0089649,108.84,107.27,99.88,72.43,,79,,,,100.01,59.33,,85,,,,98.59,59.55,,74,237.1856552,110.17,105.17,97.98,72.32,,80,,,,98.94,75.47,,87,,,,,28.66,,
15-09-2025 06:15,237.65,113.69,105.5,99.12,,,,,,,,,260.09,,113.24,100.94,,,,116,,98.43,,,,115.65,110.31,99.41,,,,126.09,128.9,98.98,,,,,,,,,,,,98.01,,,,,,98.89,,,,,,98.77,,,,106.68,115.68,98.36,,,,111.84,109.77,98.95,,,258.92,105.57,,100.02,,,,,,99.42,,,,111.6,107.19,99.73,71.2,,74,,,108.57,99.07,70.93,,82,,,108.42,98.31,70.38,,78,278.0206004,111.41,106.24,99.97,81.99,,87,,,,98.04,80.71,,87,,111.51,,100.09,71.15,,78,226.0374105,118.6,110.03,98.96,70.05,,79,,,,98.65,76.1,,81,,,,98.55,71.99,,88,273.96,,,99.94,59.3,,76,179.9324216,108.88,107.32,99.9,72.44,,79,,,,99.99,59.33,,85,,,,98.59,59.54,,74,236.9163843,110.14,105.17,98.03,72.3,,80,,,,98.94,75.58,,87,,,,,28.62,,
15-09-2025 06:20,237.42,113.67,105.47,99.24,,,,,,,,,259.52,,113.25,100.82,,,,115.92,,98.21,,,,115.47,110.13,99.27,,,,125.92,128.9,98.81,,,,,,,,,,,,97.97,,,,,,99.01,,,,,,98.92,,,,106.64,115.65,98.42,,,,111.86,109.75,99,,,258.45,105.6,,99.99,,,,,,99.51,,,,111.57,107.24,99.73,71.2,,74,,,108.61,98.95,70.86,,82,,,108.42,98.42,70.47,,78,276.1018807,111.42,106.27,100,81.85,,87,,,,97.96,80.83,,87,,111.6,,100.09,71.26,,78,226.0622472,118.64,110.08,99.02,69.95,,79,,,,98.73,75.94,,81,,,,98.53,72.24,,88,273.86,,,99.95,59.28,,76,179.6851018,108.84,107.3,99.93,72.37,,79,,,,99.98,59.23,,85,,,,98.59,59.52,,74,237.1928874,110.2,105.12,98.05,72.31,,80,,,,98.92,75.5,,87,,,,,28.64,,
15-09-2025 06:25,237.93,113.64,105.37,99.16,,,,,,,,,259.55,,113.39,100.49,,,,116.02,,97.94,,,,115.37,110.05,99.13,,,,125.84,128.95,98.69,,,,,,,,,,,,98.05,,,,,,99.09,,,,,,99,,,,106.68,115.65,98.39,,,,111.95,109.76,98.98,,,257.88,105.62,,100.05,,,,,,99.48,,,,111.57,107.23,99.71,71.27,,74,,,108.61,98.98,70.94,,82,,,108.45,98.44,70.36,,78,278.3749438,111.42,106.3,99.99,81.81,,87,,,,98.02,80.72,,87,,111.55,,100.03,71.08,,78,226.1331836,118.64,110.08,99.01,69.81,,79,,,,98.67,76.13,,81,,,,98.51,72.02,,88,274,,,99.96,59.23,,76,179.7009763,108.83,107.29,99.94,72.4,,79,,,,99.98,59.22,,85,,,,98.58,59.5,,74,237.6912898,110.24,105.14,97.99,72.21,,80,,,,98.9,75.47,,87,,,,,28.59,,
15-09-2025 06:30,237.87,113.59,105.37,99.33,,,,,,,,,260.72,,113.44,100.47,,,,116.11,,97.94,,,,115.27,109.97,99.06,,,,125.69,128.97,98.61,,,,,,,,,,,,98.06,,,,,,99.21,,,,,,99.09,,,,106.65,115.58,98.44,,,,111.91,109.78,99.05,,,260.3,105.64,,99.92,,,,,,99.41,,,,111.57,107.25,99.72,71.36,,74,,,108.59,98.99,70.69,,82,,,108.51,98.37,70.29,,78,279.3032808,111.43,106.3,100.01,81.9,,87,,,,97.9,80.71,,87,,111.55,,100.17,70.85,,78,226.2612581,118.65,110.18,99.01,69.79,,79,,,,98.59,76.04,,81,,,,98.53,71.94,,88,273.98,,,99.97,59.31,,76,179.3516362,108.84,107.35,99.93,72.45,,79,,,,99.98,59.25,,85,,,,98.58,59.54,,74,237.3417205,110.24,105.17,98,72.4,,80,,,,98.91,75.51,,87,,,,,28.61,,
15-09-2025 06:35,238.07,113.48,105.3,99.33,,,,,,,,,259.2,,113.49,100.46,,,,115.9,,97.91,,,,115.13,109.83,98.89,,,,125.57,129.02,98.5,,,,,,,,,,,,98,,,,,,99.25,,,,,,99.1,,,,106.63,115.57,98.34,,,,111.94,109.81,98.96,,,258.14,105.62,,99.93,,,,,,99.41,,,,111.6,107.22,99.73,71.35,,74,,,108.56,99.03,70.96,,82,,,108.47,98.36,70.41,,78,271.0955304,111.45,106.2,100.02,82.02,,87,,,,97.97,80.89,,87,,111.6,,100.24,71.02,,78,226.135362,118.77,110.16,99.06,70.08,,79,,,,98.65,76.19,,81,,,,98.52,72.21,,88,274.63,,,99.99,59.37,,76,179.1583361,108.87,107.41,99.92,72.49,,79,,,,100,59.39,,85,,,,98.57,59.63,,74,237.4873414,110.36,105.26,98.02,72.57,,80,,,,98.89,75.74,,87,,,,,28.6,,
15-09-2025 06:40,238.44,113.42,105.25,99.35,,,,,,,,,260.69,,113.37,100.46,,,,115.81,,97.92,,,,115.04,109.75,98.79,,,,125.47,128.92,98.35,,,,,,,,,,,,97.98,,,,,,98.96,,,,,,98.85,,,,106.65,115.57,98.37,,,,111.94,109.81,98.97,,,259.89,105.6,,99.96,,,,,,99.4,,,,111.72,107.24,99.76,71.61,,74,,,108.63,99.06,71.32,,82,203.21,,108.53,98.39,70.78,,78,280.1480198,111.63,106.28,99.97,82.42,,87,,,,98.05,81.06,,87,,111.63,,100.15,71.2,,78,226.2934067,118.95,110.23,99.02,70.41,,79,,,,98.66,76.35,,81,,,,98.58,72.43,,88,275.27,,,100.01,59.49,,76,179.654756,108.96,107.46,99.97,72.72,,79,,,,100.01,59.57,,85,,,,98.58,59.8,,74,237.5107626,110.39,105.19,98.06,72.63,,80,,,,98.88,75.97,,87,,,,,28.63,,
15-09-2025 06:45,238.62,113.29,105.12,99.32,,,,,,,,,260.17,,113.29,100.48,,,,115.72,,97.91,,,,114.99,109.71,98.7,,,,125.45,129.02,98.26,,,,,,,,,,,,98.05,,,,,,98.82,,,,,,98.71,,,,106.63,115.52,98.37,,,,111.94,109.81,99,,,261.57,105.6,,99.96,,,,,,99.41,,,,111.92,107.31,99.73,72.05,,74,,,108.76,98.91,71.54,,82,206.18,,108.43,98.16,70.99,,78,295.5990637,111.74,106.38,99.92,82.85,,87,,,,98.08,81.33,,87,,111.81,,100.06,71.54,,78,226.4499047,119.15,110.24,98.95,70.74,,79,,,,98.63,76.1,,81,,,,98.54,73.04,,88,275.5,,,100.04,59.61,,76,180.3740829,109.13,107.57,99.99,72.98,,79,,,,100.01,59.81,,85,,,,98.59,59.91,,74,236.8724408,110.31,105.15,98.05,72.86,,80,,,,98.86,76.16,,87,,,,,28.61,,
